CustomerID,Sex,Age,AccountDuration,AccountType,AverageMonthlySpending,InvestmentAccounts,FixedDeposits,MutualFunds,StockInvestments,BondInvestments,BalancedFunds,TaxSavings,TradingAccounts,SpecialtyFunds,CustomerStatus
10060,Male,53,5,Checking,1119.74,Yes,No,No,Yes,Yes,No,No,No,No,Active
10061,Male,45,6,Investment,2515.5,Yes,No,Yes,Yes,No,No,No,No,No,Active
10062,Female,27,5,Savings,3212.31,No,No,No,No,No,No,No,No,No,Active
10063,Male,73,4,Checking,1911.47,No,No,No,No,No,No,No,No,No,Active
10064,Male,62,4,Savings,3274.86,No,No,No,No,No,No,No,No,No,Active
10065,Female,35,6,Checking,3320.94,No,No,No,No,No,No,No,No,No,Active
10066,Female,64,6,Savings,2247.64,Yes,Yes,No,No,No,Yes,No,Yes,No,Active
10067,Female,64,6,Savings,719.73,Yes,Yes,No,No,No,Yes,No,Yes,No,Active
10068,Male,41,11,Savings,627.45,Yes,No,No,Yes,No,Yes,No,Yes,No,Active
10069,Male,67,5,Checking,1330.46,Yes,No,No,No,No,No,No,No,Yes,Active
10070,Male,59,8,Investment,2456.17,Yes,Yes,No,No,No,No,No,No,Yes,Churned
10071,Female,21,5,Loan,1655.39,No,No,No,No,No,No,No,No,No,Active
10072,Male,43,4,Checking,2338.88,No,No,No,No,No,No,No,No,No,Active
10073,Male,69,6,Checking,1384.62,No,No,No,No,No,No,No,No,No,Active
10074,Male,57,6,Checking,891.06,Yes,No,No,No,Yes,No,No,No,No,Active
10075,Female,21,6,Checking,2171.49,No,No,No,No,No,No,No,No,No,Active
10076,Female,29,8,Checking,1957.18,No,No,No,No,No,No,No,No,No,Active
10077,Male,50,1,Checking,2190.8,Yes,No,No,No,Yes,No,Yes,No,No,New
10078,Female,43,6,Checking,461.34,Yes,No,Yes,No,No,Yes,No,No,No,Active
10079,Male,74,5,Checking,838.94,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Active
10080,Female,20,5,Checking,2343.24,Yes,No,No,No,No,No,No,Yes,No,Active
10081,Male,29,8,Investment,2530.95,Yes,No,No,No,No,Yes,No,No,Yes,Active
10082,Female,58,6,Investment,2608.71,No,No,No,No,No,No,No,No,No,Active
10083,Male,37,4,Savings,3008.25,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Active
10084,Female,46,6,Checking,3286.7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Active
10085,Female,71,7,Loan,2511.96,Yes,No,No,Yes,No,No,No,No,Yes,Active
10086,Female,48,2,Checking,1352.9,No,No,No,No,No,No,No,No,No,Active
10087,Female,69,8,Fixed Deposit,410.73,Yes,Yes,No,No,No,No,No,Yes,No,Churned
10088,Male,37,6,Fixed Deposit,710.42,No,No,No,No,No,No,No,No,No,Active
10089,Female,48,6,Fixed Deposit,995.01,Yes,No,No,Yes,No,No,Yes,No,No,Active
10090,Female,30,6,Investment,3873.35,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Active
10091,Female,25,6,Loan,2344.73,No,No,No,No,No,No,No,No,No,Active
10092,Female,71,8,Savings,401.53,No,No,No,No,No,No,No,No,No,Churned
10093,Female,52,7,Checking,2261.79,No,No,No,No,No,No,No,No,No,Active
10094,Male,71,9,Investment,2865.98,No,No,No,No,No,No,No,No,No,Active
10095,Male,22,6,Investment,4234.45,Yes,No,Yes,Yes,No,No,Yes,No,No,Active
10096,Female,45,3,Checking,3346.75,No,No,No,No,No,No,No,No,No,Active
10097,Male,45,8,Savings,2774.48,No,No,No,No,No,No,No,No,No,Active
10098,Male,67,4,Savings,2370.35,Yes,Yes,No,Yes,Yes,No,No,No,No,Active
10099,Female,40,1,Savings,1089.38,No,No,No,No,No,No,No,No,No,New
10100,Female,22,9,Checking,372.76,No,No,No,No,No,No,No,No,No,Active
10101,Female,68,10,Checking,2193.21,Yes,No,Yes,Yes,Yes,No,No,No,No,Active
10102,Male,63,7,Savings,1644.61,No,No,No,No,No,No,No,No,No,Active
10103,Female,24,7,Investment,3894.85,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Active
10104,Female,33,6,Checking,2168.47,No,No,No,No,No,No,No,No,No,Active
10105,Female,52,6,Savings,1616.87,Yes,No,No,No,No,No,Yes,No,No,Active
10106,Male,45,4,Checking,2615.24,Yes,Yes,No,No,No,No,No,No,No,Active
10107,Male,54,4,Fixed Deposit,780.3,Yes,No,No,No,Yes,No,No,No,Yes,Active
10108,Male,23,4,Fixed Deposit,306.95,Yes,No,Yes,No,No,No,No,No,No,Churned
10109,Male,73,4,Savings,617.58,No,No,No,No,No,No,No,No,No,Active
10110,Male,64,7,Investment,3589.77,Yes,No,No,No,Yes,No,No,No,No,Active
10111,Male,26,8,Savings,2663.23,No,No,No,No,No,No,No,No,No,Active
10112,Male,35,5,Investment,5128.27,Yes,No,No,Yes,No,Yes,Yes,No,No,Active
10113,Male,26,4,Checking,642.86,No,No,No,No,No,No,No,No,No,Active
10114,Female,68,7,Investment,5160.42,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Active
10115,Female,57,9,Checking,2920.27,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Active
10116,Male,22,8,Fixed Deposit,810.56,Yes,No,Yes,No,No,No,Yes,No,No,Active
10117,Male,22,6,Investment,3428.38,Yes,Yes,No,No,No,No,No,Yes,No,Active
10118,Male,36,6,Investment,5446.58,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Active
10119,Female,55,7,Checking,1743.92,No,No,No,No,No,No,No,No,No,Active
10120,Female,65,7,Investment,5653.37,Yes,No,No,No,No,Yes,Yes,No,No,Active
10121,Male,47,4,Investment,6514.43,Yes,No,No,No,Yes,No,No,Yes,No,Active
10122,Male,23,4,Loan,1506.71,No,No,No,No,No,No,No,No,No,Active
10123,Male,71,5,Savings,2627.44,Yes,No,No,No,No,No,No,No,No,Active
10124,Male,46,7,Checking,3299.61,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Active
10125,Male,49,4,Checking,2082.93,Yes,Yes,No,No,No,No,No,No,No,Active
10126,Female,29,8,Checking,1757.66,Yes,No,No,Yes,No,No,No,No,No,Active
10127,Female,43,7,Investment,3168.64,No,No,No,No,No,No,No,No,No,Active
10128,Female,42,8,Savings,2391.41,No,No,No,No,No,No,No,No,No,Active
10129,Female,68,4,Savings,2598.63,Yes,No,Yes,No,No,Yes,No,No,No,Active
10130,Female,29,5,Savings,2912.86,No,No,No,No,No,No,No,No,No,Active
10131,Male,70,10,Savings,1754.33,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Active
10132,Female,36,9,Savings,2611.77,Yes,No,No,Yes,No,No,No,Yes,No,Active
10133,Female,51,9,Savings,777.99,Yes,No,No,No,Yes,No,No,No,Yes,Active
10134,Male,26,6,Savings,2919.72,Yes,No,No,Yes,No,No,No,No,No,Active
10135,Male,39,4,Checking,3152.09,No,No,No,No,No,No,No,No,No,Active
10136,Female,21,7,Checking,1038.89,No,No,No,No,No,No,No,No,No,Active
10137,Male,61,6,Savings,2283.53,No,No,No,No,No,No,No,No,No,Active
10138,Female,33,6,Fixed Deposit,911.92,Yes,No,Yes,No,No,Yes,No,No,No,Active
10139,Male,72,6,Checking,2648.83,No,No,No,No,No,No,No,No,No,Active
10140,Male,41,4,Savings,770.25,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Active
10141,Female,18,9,Savings,3378.74,No,No,No,No,No,No,No,No,No,Active
10142,Male,28,7,Savings,311.29,No,No,No,No,No,No,No,No,No,Active
10143,Male,29,6,Investment,5175.26,Yes,No,Yes,No,No,No,No,No,Yes,Active
10144,Female,21,10,Savings,3158.7,No,No,No,No,No,No,No,No,No,Active
10145,Female,37,5,Savings,345.57,Yes,No,No,No,No,No,Yes,No,Yes,Active
10146,Female,53,5,Checking,718.46,Yes,No,Yes,No,Yes,No,No,No,No,Active
10147,Female,63,5,Savings,1311.53,Yes,Yes,No,No,No,No,No,No,Yes,Active
10148,Female,38,5,Investment,4676.49,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Churned
10149,Male,71,5,Investment,7257.09,Yes,Yes,No,No,No,No,No,No,No,Active
10150,Male,21,3,Investment,6979.31,Yes,No,No,No,No,No,No,Yes,No,Active
10151,Male,60,4,Checking,2659.38,Yes,No,No,No,Yes,No,No,No,No,Active
10152,Male,68,6,Checking,2102.99,Yes,No,No,No,No,No,No,No,No,Active
10153,Male,62,9,Checking,2134.36,No,No,No,No,No,No,No,No,No,Active
10154,Female,26,5,Savings,1807.25,No,No,No,No,No,No,No,No,No,Active
10155,Female,28,6,Savings,2858.47,No,No,No,No,No,No,No,No,No,Churned
10156,Male,22,6,Investment,6291.2,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Active
10157,Male,70,3,Checking,1755.73,No,No,No,No,No,No,No,No,No,Active
10158,Male,63,9,Investment,4112.97,Yes,No,Yes,No,No,No,No,No,Yes,Active
10159,Female,72,4,Checking,1974.7,No,No,No,No,No,No,No,No,No,Active
10160,Female,45,8,Checking,3207.52,Yes,No,No,No,No,No,Yes,No,No,Active
10161,Male,53,3,Savings,688.1,No,No,No,No,No,No,No,No,No,Active
10162,Female,35,7,Savings,3262.28,No,No,No,No,No,No,No,No,No,Active
10163,Male,31,14,Savings,2618.06,Yes,No,No,No,Yes,No,Yes,No,No,Active
10164,Female,40,6,Savings,394.19,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Active
10165,Female,63,9,Checking,2605.71,Yes,No,Yes,No,No,No,No,No,Yes,Active
10166,Female,69,8,Savings,1691.85,No,No,No,No,No,No,No,No,No,Active
10167,Female,45,6,Investment,4731.1,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Active
10168,Male,41,8,Investment,4433.49,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Active
10169,Male,48,11,Savings,1747.14,No,No,No,No,No,No,No,No,No,Active
10170,Female,58,6,Savings,2493.05,Yes,No,No,No,No,No,No,No,Yes,Churned
10171,Male,70,5,Savings,3281.94,Yes,No,Yes,No,Yes,No,No,No,Yes,Active
10172,Female,48,4,Checking,2102.5,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Active
10173,Female,51,9,Checking,1006.99,Yes,Yes,No,No,No,No,No,No,No,Active
10174,Female,62,3,Savings,377.73,No,No,No,No,No,No,No,No,No,Active
10175,Male,55,7,Loan,2941.81,Yes,No,Yes,Yes,No,No,Yes,No,No,Active
10176,Female,74,4,Investment,2189.53,Yes,No,Yes,Yes,Yes,No,No,No,No,Active
10177,Male,34,6,Investment,3877.25,Yes,No,No,No,No,Yes,No,Yes,No,Active
10178,Female,58,6,Savings,1086.67,Yes,No,No,No,No,Yes,No,No,No,Active
10179,Female,39,6,Checking,550.41,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Active
10180,Female,59,8,Savings,383.55,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Active
10181,Female,24,9,Checking,597.83,No,No,No,No,No,No,No,No,No,Active
10182,Male,72,8,Investment,1750.87,No,No,No,No,No,No,No,No,No,Active
10183,Male,51,8,Savings,2222.97,Yes,No,Yes,No,Yes,No,Yes,No,No,Active
10184,Female,53,5,Checking,1969.56,Yes,Yes,No,No,No,Yes,No,No,No,Active
10185,Male,22,6,Savings,1396.12,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Active
10186,Female,43,3,Checking,623.99,No,No,No,No,No,No,No,No,No,Active
10187,Female,55,6,Checking,3113.65,Yes,Yes,Yes,No,No,No,No,No,No,Active
10188,Female,57,10,Checking,3020.72,Yes,No,No,No,No,Yes,Yes,No,No,Active
10189,Female,26,4,Checking,1722.18,No,No,No,No,No,No,No,No,No,Active
10190,Male,59,5,Savings,1620.92,No,No,No,No,No,No,No,No,No,Active
10191,Female,40,5,Savings,1525.18,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Active
10192,Male,68,5,Savings,2589.59,No,No,No,No,No,No,No,No,No,Active
10193,Male,27,3,Checking,734.9,No,No,No,No,No,No,No,No,No,Churned
10194,Female,42,5,Fixed Deposit,501.23,No,No,No,No,No,No,No,No,No,Active
10195,Female,55,3,Savings,314.33,No,No,No,No,No,No,No,No,No,Active
10196,Female,39,6,Checking,3088.58,No,No,No,No,No,No,No,No,No,Active
10197,Female,37,10,Savings,1473.08,No,No,No,No,No,No,No,No,No,Active
10198,Male,55,7,Checking,3406.21,Yes,No,Yes,No,No,No,No,No,No,Active
10199,Female,66,6,Savings,2145.85,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Active
10200,Female,56,7,Savings,732.91,Yes,No,Yes,Yes,No,No,No,No,No,Active
10201,Female,23,9,Savings,1405.68,No,No,No,No,No,No,No,No,No,Active
10202,Female,31,5,Checking,1203.79,No,No,No,No,No,No,No,No,No,Active
10203,Female,67,5,Savings,1913.85,Yes,No,Yes,No,Yes,No,No,No,No,Active
10204,Male,26,4,Checking,3072.63,No,No,No,No,No,No,No,No,No,Active
10205,Male,33,10,Investment,5628.7,Yes,No,Yes,No,Yes,No,No,Yes,No,Active
10206,Female,27,7,Checking,3256.67,No,No,No,No,No,No,No,No,No,Active
10207,Male,44,10,Checking,1552.37,Yes,No,No,No,No,No,No,Yes,No,Active
10208,Female,55,5,Savings,2824.35,No,No,No,No,No,No,No,No,No,Active
10209,Male,22,5,Savings,555.3,No,No,No,No,No,No,No,No,No,Active
10210,Male,32,3,Savings,440.9,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Active
10211,Male,29,6,Savings,2547.25,No,No,No,No,No,No,No,No,No,Active
10212,Female,72,3,Savings,759.53,No,No,No,No,No,No,No,No,No,Active
10213,Female,35,7,Checking,2097.6,No,No,No,No,No,No,No,No,No,Active
10214,Female,51,6,Savings,1508.67,Yes,No,No,Yes,Yes,No,No,No,No,Active
10215,Female,50,3,Checking,1607.23,No,No,No,No,No,No,No,No,No,Active
10216,Male,52,5,Checking,593.12,Yes,No,No,Yes,No,No,Yes,No,Yes,Active
10217,Male,67,4,Checking,2756.29,No,No,No,No,No,No,No,No,No,Active
10218,Male,67,5,Savings,1349.71,No,No,No,No,No,No,No,No,No,Active
10219,Female,26,3,Checking,345.23,No,No,No,No,No,No,No,No,No,Active
10220,Male,61,3,Savings,927.59,No,No,No,No,No,No,No,No,No,Active
10221,Male,33,3,Savings,2087.95,No,No,No,No,No,No,No,No,No,Active
10222,Female,47,7,Savings,624.04,Yes,No,Yes,No,No,No,No,No,No,Active
10223,Female,46,9,Checking,3012.35,Yes,No,No,No,No,No,No,Yes,No,Active
10224,Female,33,7,Savings,377.0,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Active
10225,Male,65,6,Savings,2074.85,Yes,Yes,No,No,No,No,Yes,Yes,No,Active
10226,Female,34,4,Investment,5217.78,Yes,No,Yes,No,Yes,No,No,Yes,No,Active
10227,Female,71,5,Checking,909.08,No,No,No,No,No,No,No,No,No,Active
10228,Female,20,5,Savings,841.23,No,No,No,No,No,No,No,No,No,Active
10229,Female,53,7,Fixed Deposit,351.97,Yes,No,No,Yes,No,Yes,No,No,Yes,Active
10230,Female,48,3,Checking,1419.46,No,No,No,No,No,No,No,No,No,Active
10231,Female,72,7,Savings,2675.19,Yes,No,No,No,No,No,No,No,Yes,Active
10232,Female,42,3,Savings,820.6,No,No,No,No,No,No,No,No,No,Churned
10233,Female,48,10,Loan,830.73,No,No,No,No,No,No,No,No,No,Active
10234,Male,59,9,Savings,1408.06,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Active
10235,Male,68,9,Savings,1803.14,Yes,No,No,No,Yes,No,No,No,No,Active
10236,Male,67,7,Savings,542.25,Yes,No,No,No,No,No,No,No,Yes,Active
10237,Male,68,5,Checking,1587.09,No,No,No,No,No,No,No,No,No,Active
10238,Male,53,7,Savings,967.83,Yes,Yes,No,Yes,No,Yes,No,No,No,Active
10239,Male,20,4,Investment,3174.53,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Active
10240,Male,25,2,Savings,2148.66,No,No,No,No,No,No,No,No,No,Active
10241,Female,48,3,Checking,548.06,Yes,Yes,No,No,No,No,No,No,No,Active
10242,Female,25,1,Fixed Deposit,461.17,Yes,No,No,Yes,Yes,No,No,No,No,New
10243,Male,45,3,Checking,3455.01,No,No,No,No,No,No,No,No,No,Active
10244,Female,51,9,Fixed Deposit,847.02,Yes,No,No,No,Yes,Yes,No,Yes,No,Active
10245,Female,70,4,Savings,1882.22,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Active
10246,Female,43,9,Investment,7743.57,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Active
10247,Male,56,4,Fixed Deposit,305.11,Yes,Yes,Yes,No,Yes,No,No,No,No,Active
10248,Male,74,7,Savings,2608.78,Yes,No,No,No,No,No,Yes,No,Yes,Active
10249,Male,37,4,Investment,4254.97,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Active
10250,Female,33,7,Checking,1622.38,Yes,Yes,No,No,No,Yes,No,No,Yes,Active
10251,Male,28,7,Checking,2776.21,Yes,No,No,Yes,No,No,No,No,Yes,Active
10252,Male,57,9,Savings,3176.46,No,No,No,No,No,No,No,No,No,Active
10253,Female,30,5,Savings,3216.82,No,No,No,No,No,No,No,No,No,Active
10254,Female,71,9,Savings,999.28,Yes,No,No,No,No,No,Yes,No,No,Active
10255,Female,36,4,Checking,915.32,No,No,No,No,No,No,No,No,No,Active
10256,Male,73,5,Fixed Deposit,355.84,Yes,No,No,No,Yes,No,Yes,No,Yes,Active
10257,Male,59,6,Savings,808.7,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Active
10258,Female,62,8,Savings,2137.91,No,No,No,No,No,No,No,No,No,Active
10259,Female,69,9,Fixed Deposit,961.62,Yes,Yes,No,Yes,Yes,No,No,No,No,Active
10260,Male,64,9,Checking,911.66,Yes,No,No,No,No,No,No,No,Yes,Active
10261,Female,24,7,Checking,1874.72,No,No,No,No,No,No,No,No,No,Active
10262,Male,57,4,Checking,2807.25,No,No,No,No,No,No,No,No,No,Active
10263,Male,41,3,Investment,6068.39,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Active
10264,Male,65,7,Checking,3341.58,Yes,Yes,No,No,No,No,Yes,No,Yes,Active
10265,Male,37,4,Checking,355.5,Yes,No,No,No,No,Yes,No,No,No,Active
10266,Female,73,7,Investment,1842.06,No,No,No,No,No,No,No,No,No,Active
10267,Male,62,4,Savings,1173.45,Yes,Yes,Yes,No,No,No,No,No,Yes,Active
10268,Female,61,7,Investment,6919.37,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Active
10269,Male,41,4,Fixed Deposit,777.45,Yes,No,No,No,Yes,No,Yes,No,No,Active
10270,Female,28,6,Savings,595.67,No,No,No,No,No,No,No,No,No,Active
10271,Female,34,6,Savings,1906.58,No,No,No,No,No,No,No,No,No,Active
10272,Male,34,4,Checking,2876.67,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Active
10273,Male,38,7,Savings,1350.01,No,No,No,No,No,No,No,No,No,Active
10274,Female,23,6,Savings,693.04,No,No,No,No,No,No,No,No,No,Active
10275,Female,69,5,Fixed Deposit,384.13,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Active
10276,Male,53,10,Checking,1158.07,Yes,No,No,No,Yes,No,No,No,No,Active
10277,Male,54,4,Investment,1654.3,Yes,No,No,Yes,No,No,No,No,No,Active
10278,Male,69,7,Savings,836.28,No,No,No,No,No,No,No,No,No,Active
10279,Male,20,12,Savings,1761.55,No,No,No,No,No,No,No,No,No,Active
10280,Female,37,5,Savings,1441.67,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Active
10281,Male,45,7,Loan,2756.81,Yes,No,Yes,No,No,Yes,No,Yes,No,Active
10282,Female,22,7,Savings,1520.7,No,No,No,No,No,No,No,No,No,Active
10283,Male,68,4,Checking,867.24,No,No,No,No,No,No,No,No,No,Active
10284,Male,64,10,Savings,3116.44,Yes,Yes,No,No,Yes,No,No,No,No,Active
10285,Female,18,2,Savings,1391.9,No,No,No,No,No,No,No,No,No,Active
10286,Male,70,8,Savings,482.87,No,No,No,No,No,No,No,No,No,Active
10287,Male,37,8,Checking,1414.29,Yes,No,Yes,Yes,No,No,No,No,No,Active
10288,Male,56,4,Investment,2458.72,Yes,No,No,No,Yes,No,Yes,No,No,Active
10289,Female,45,5,Checking,2061.78,Yes,No,Yes,No,Yes,No,No,Yes,No,Active
10290,Male,35,8,Checking,893.76,Yes,No,No,No,No,No,No,Yes,No,Active
10291,Female,72,3,Savings,1922.56,No,No,No,No,No,No,No,No,No,Active
10292,Female,18,5,Savings,1436.38,No,No,No,No,No,No,No,No,No,Active
10293,Female,70,7,Checking,3376.62,Yes,No,No,No,No,No,No,No,Yes,Active
10294,Male,59,7,Checking,425.49,Yes,Yes,No,Yes,Yes,No,No,No,No,Active
10295,Male,23,3,Savings,3418.27,No,No,No,No,No,No,No,No,No,Active
10296,Female,38,10,Savings,2142.1,No,No,No,No,No,No,No,No,No,Active
10297,Female,20,6,Investment,4813.32,Yes,No,No,Yes,No,Yes,No,No,No,Active
10298,Female,59,5,Savings,1876.12,Yes,Yes,No,No,No,No,Yes,No,No,Active
10299,Male,39,8,Savings,2431.69,No,No,No,No,No,No,No,No,No,Active
10300,Male,32,6,Savings,3226.4,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Active
10301,Male,22,5,Checking,2133.47,No,No,No,No,No,No,No,No,No,Active
10302,Male,58,5,Savings,3485.05,No,No,No,No,No,No,No,No,No,Active
10303,Female,45,5,Savings,324.76,Yes,No,No,No,No,Yes,No,No,No,Active
10304,Male,49,5,Investment,6594.86,Yes,Yes,No,No,No,No,No,No,No,Active
10305,Female,19,6,Savings,2241.56,No,No,No,No,No,No,No,No,No,Active
10306,Female,64,6,Savings,3107.43,Yes,Yes,No,No,Yes,No,No,No,Yes,Active
10307,Male,35,9,Fixed Deposit,430.99,Yes,No,No,Yes,No,No,No,No,No,Active
10308,Female,59,7,Fixed Deposit,346.25,No,No,No,No,No,No,No,No,No,Active
10309,Female,36,3,Savings,1623.63,No,No,No,No,No,No,No,No,No,Active
10310,Female,56,3,Investment,2843.38,Yes,No,No,No,No,Yes,No,No,No,Active
10311,Male,58,8,Savings,1985.31,Yes,No,No,No,No,No,No,No,No,Active
10312,Male,45,6,Savings,1189.38,No,No,No,No,No,No,No,No,No,Active
10313,Male,25,4,Savings,3164.88,No,No,No,No,No,No,No,No,No,Churned
